James,Hetfield,Metallica,vocals
Lars,Ulrich,Metallica,drums
Dave,Mustaine,Metallica,lead guitar
Kirk,Hammett,Metallica,lead giutar
Ron,McGovney,Metallica,bass
Cliff,Burton,Metallica,bass
Jason,Newsted,Metallica,bass
